,N,L,Max,Pat,R_A
586,90,100,0.449384,1,6
587,90,100,0.44936,1,7
588,90,100,0.44933,1,8
589,90,100,0.374336,1,9
590,120,100,0.59899,1,0
591,120,100,0.599252,1,1
592,120,100,0.59937,1,2
593,120,100,0.599402,1,3
594,120,100,0.59927,1,4
595,120,100,0.599164,1,5
596,120,100,0.599124,1,6
597,120,100,0.599014,1,7
598,120,100,0.598832,1,8
599,120,100,0.479376,1,9
600,150,100,0.728726,1,0
601,150,100,0.749012,1,1
602,150,100,0.748828,1,2
603,150,100,0.748936,1,3
604,150,100,0.749016,1,4
605,150,100,0.748894,1,5
606,150,100,0.748622,1,6
607,150,100,0.748118,1,7
608,150,100,0.748042,1,8
609,150,100,0.573844,1,9
610,180,100,0.867514,1,0
611,180,100,0.897008,1,1
612,180,100,0.897472,1,2
613,180,100,0.898212,1,3
614,180,100,0.898034,1,4
615,180,100,0.896714,1,5
616,180,100,0.887162,1,6
617,180,100,0.800312,1,7
618,180,100,0.721752,1,8
619,180,100,0.671168,1,9
620,210,100,0.962418,1,0
621,210,100,0.993278,1,1
622,210,100,0.879774,1,2
623,210,100,0.925266,1,3
624,210,100,0.85119,1,4
625,210,100,0.943336,1,5
626,210,100,0.831824,1,6
627,210,100,0.80683,1,7
628,210,100,0.792854,1,8
629,210,100,0.767128,1,9
630,240,100,0.992692,1,0
631,240,100,0.944024,1,1
632,240,100,0.910718,1,2
633,240,100,0.894452,1,3
634,240,100,0.877206,1,4
635,240,100,0.870712,1,5
636,240,100,0.86527,1,6
637,240,100,0.862304,1,7
638,240,100,0.85766,1,8
639,240,100,0.857434,1,9
640,270,100,0.998754,1,0
641,270,100,0.961114,1,1
642,270,100,0.943206,1,2
643,270,100,0.932312,1,3
644,270,100,0.921234,1,4
645,270,100,0.913984,1,5
646,270,100,0.913702,1,6
647,270,100,0.91459,1,7
648,270,100,0.913046,1,8
649,270,100,0.92226,1,9
650,300,100,0.999366,1,0
651,300,100,0.973348,1,1
652,300,100,0.970824,1,2
653,300,100,0.969182,1,3
654,300,100,0.960674,1,4
655,300,100,0.957926,1,5
656,300,100,0.956132,1,6
657,300,100,0.953886,1,7
658,300,100,0.953928,1,8
659,300,100,0.947698,1,9
660,0,100,0.0,1,0
661,0,100,0.0,1,1
662,0,100,0.0,1,2
663,0,100,0.0,1,3
664,0,100,0.0,1,4
665,0,100,0.0,1,5
666,0,100,0.0,1,6
667,0,100,0.0,1,7
668,0,100,0.0,1,8
669,0,100,0.0,1,9
