,N,L,Flow,Pat,r_a,speed
102,180,100,0.897844,1,3,0.0
103,181,100,0.90345,1,3,0.0
104,182,100,0.908612,1,3,0.0
105,183,100,0.91305,1,3,0.0
106,184,100,0.916984,1,3,0.0
107,185,100,0.922194,1,3,0.0
108,186,100,0.928166,1,3,0.0
109,187,100,0.932974,1,3,0.0
110,188,100,0.937818,1,3,0.0
111,189,100,0.942608,1,3,0.0
112,190,100,0.94605,1,3,0.0
113,191,100,0.94957,1,3,0.0
114,192,100,0.833574,1,3,0.13559077836348288
115,193,100,0.960638,1,3,0.0
116,194,100,0.967092,1,3,0.0
117,195,100,0.970666,1,3,0.0
118,196,100,0.976108,1,3,0.0
119,197,100,0.842376,1,3,0.11417596954099278
120,198,100,0.840268,1,3,0.11724828945296473
121,199,100,0.843908,1,3,0.12348323729115325
122,200,100,0.994956,1,3,0.0
123,201,100,0.99119,1,3,0.0
124,202,100,0.995222,1,3,0.0
125,203,100,0.996166,1,3,0.0
126,204,100,0.850338,1,3,0.1217910973612714
127,205,100,0.994994,1,3,0.0
128,206,100,0.918622,1,3,0.2256569275880761
129,207,100,0.990612,1,3,0.0
130,208,100,0.85593,1,3,0.13112789977403813
131,209,100,0.853204,1,3,0.13844581558525965
132,210,100,0.961576,1,3,0.15909013486436377
133,211,100,0.855744,1,3,0.13823070587978867
134,212,100,0.96933,1,3,0.15902898173901955
135,213,100,0.857824,1,3,0.14357758919599803
136,214,100,0.86063,1,3,0.12364421309515775
137,215,100,0.938774,1,3,0.22568700708093345
138,216,100,0.864396,1,3,0.1237401295158676
139,217,100,0.86148,1,3,0.13460536337944287
140,218,100,0.86737,1,3,0.14908777260207967
141,219,100,0.994644,1,3,0.10563489738642173
142,220,100,0.870538,1,3,0.1403817828274995
143,221,100,0.969496,1,3,0.16538569977447173
144,222,100,0.874126,1,3,0.12658075384613385
145,223,100,0.872,1,3,0.13245384234694654
146,224,100,0.874304,1,3,0.13057003835507755
147,225,100,0.95956,1,3,0.2257440727391893
148,226,100,0.877384,1,3,0.1266522528407688
149,227,100,0.88044,1,3,0.11804552107296613
150,228,100,0.881046,1,3,0.13001186144033314
151,229,100,0.883752,1,3,0.12820814178639497
152,230,100,0.884266,1,3,0.12362883307222255
153,180,100,0.8978,1,3,0.0
154,181,100,0.90269,1,3,0.0
155,182,100,0.90774,1,3,0.0
156,183,100,0.913452,1,3,0.0
157,184,100,0.915892,1,3,0.0
158,185,100,0.922134,1,3,0.0
159,186,100,0.928104,1,3,0.0
160,187,100,0.93269,1,3,0.0
161,188,100,0.937274,1,3,0.0
162,189,100,0.942636,1,3,0.0
163,190,100,0.946402,1,3,0.0
164,191,100,0.948948,1,3,0.0
165,192,100,0.83198,1,3,0.12097640852280404
166,193,100,0.960596,1,3,0.0
167,194,100,0.96628,1,3,0.0
168,195,100,0.97127,1,3,0.0
169,196,100,0.975206,1,3,0.0
170,197,100,0.974414,1,3,0.0
171,198,100,0.985682,1,3,0.0
